outcode,latitude,longitude
BS9,51.48736192,-2.626683407
CA1,54.8864007,-2.913925683
CA11,54.66444213,-2.785457111
CA13,54.65987621,-3.367963113
CA15,54.71214872,-3.481706228
CA16,54.57470745,-2.484061032
CA18,54.3543106,-3.39128092
CA2,54.88439836,-2.951138945
CA21,54.44546638,-3.516251892
CA23,54.51434081,-3.494273671
CA25,54.52274529,-3.518537682
CA26,54.54441591,-3.483296827
CA28,54.54387934,-3.578378046
CA3,54.90837614,-2.940491702
CA4,54.84597987,-2.831781568
CA6,54.99445757,-2.892956963
CA99,54.890925,-2.94385
CB1,52.19754101,0.143239297
CB11,51.99990632,0.211604386
CB2,52.19200158,0.125360404
CB21,52.12998587,0.279441528
CB22,52.13210681,0.13620853
CB24,52.27426918,0.086508094
CB25,52.25970464,0.25012749
CB3,52.21148084,0.101350754
CB4,52.22260123,0.130762703
CB6,52.40544629,0.22208865
CB8,52.23030133,0.426406244
CF14,51.51991547,-3.204027681
CF15,51.53375856,-3.271860822
CF23,51.51401021,-3.15367242
CF24,51.48729624,-3.162696672
CF32,51.56037182,-3.583743006
CF33,51.5251138,-3.691471215
CF34,51.61048861,-3.652202813
CF35,51.52208135,-3.519460865
CF43,51.65777968,-3.450180193
CF44,51.71817203,-3.458607668
CF45,51.66966164,-3.362277228
CF5,51.48300038,-3.243431403
CF61,51.40867712,-3.481333918
CF62,51.404545,-3.310337389
CF71,51.45975414,-3.461020704
CF81,51.70181213,-3.245151442
CF82,51.6507184,-3.237767881
CF91,51.46560275,-3.19392725
CF99,51.464367,-3.161663
CH1,53.20191606,-2.908162044
CH2,53.2175248,-2.869054732
CH26,53.365713,-3.065921
CH27,53.42077616,-3.041014553
CH29,53.390356,-3.179389
CH3,53.16608993,-2.820369785
CH31,53.329754,-3.098884
CH32,53.361962,-2.99765
CH33,53.290566,-3.062638
CH34,53.28124859,-2.90744927
CH4,53.16689623,-2.94333188
CH42,53.37420224,-3.022722765
CH44,53.41530565,-3.037069463
CH46,53.40400076,-3.110811451
CH47,53.39635151,-3.169457675
CH49,53.38103049,-3.104099137
CH6,53.25010826,-3.146430746
CH60,53.32659184,-3.096130286
